column,missing_ratio
target,0.0
mean perimeter,0.0984182776801406
worst area,0.10017574692442882
worst concavity,0.10896309314586995
concave points error,0.10896309314586995
mean fractal dimension,0.11423550087873462
worst concave points,0.13005272407732865
area error,0.13181019332161686
smoothness error,0.13532513181019332
mean texture,0.13532513181019332
symmetry error,0.14411247803163443
mean radius,0.15289982425307558
mean compactness,0.15641476274165203
worst radius,0.16520210896309315
radius error,0.16520210896309315
worst compactness,0.16695957820738136
mean symmetry,0.17223198594024605
worst fractal dimension,0.17398945518453426
worst smoothness,0.17750439367311072
worst perimeter,0.19156414762741653
compactness error,0.19859402460456943
mean concavity,0.22847100175746923
texture error,0.23725834797891038
worst texture,0.27240773286467485
fractal dimension error,0.2759226713532513
worst symmetry,0.27943760984182775
mean area,0.29173989455184535
mean smoothness,0.3251318101933216
mean concave points,0.3286467486818981
perimeter error,0.3304042179261863
concavity error,0.3339191564147627
